# Generated by tools/hexagon-diff/gen_cases.py from the Hexagon spec.
# TAG<TAB>ASM<TAB>word0,word1,...   (mcpu=hexagonv68)
A2_abs	R0=abs(R4)	8c84c080
S2_asl_i_r_sat	R0=asl(R4,#31):sat	8c44df40
S2_asl_i_r_xacc	R0^=asl(R4,#0)	8e84c040
S2_asl_i_r_xacc	R0^=asl(R4,#1)	8e84c140
S2_asl_i_r_xacc	R0^=asl(R4,#15)	8e84cf40
S2_asl_i_r_xacc	R0^=asl(R4,#3)	8e84c340
S2_asl_i_r_xacc	R0^=asl(R4,#31)	8e84df40
S2_asl_i_vh	R1:0=vaslh(R5:4,#0)	8084c040
S2_asl_i_vh	R1:0=vaslh(R5:4,#1)	8084c140
S2_asl_i_vh	R1:0=vaslh(R5:4,#15)	8084cf40
S2_asl_i_vh	R1:0=vaslh(R5:4,#3)	8084c340
S2_asl_i_vh	R1:0=vaslh(R5:4,#7)	8084c740
S2_asl_i_vw	R1:0=vaslw(R5:4,#0)	8044c040
S2_asl_i_vw	R1:0=vaslw(R5:4,#1)	8044c140
S2_asl_i_vw	R1:0=vaslw(R5:4,#15)	8044cf40
S2_asl_i_vw	R1:0=vaslw(R5:4,#3)	8044c340
S2_asl_i_vw	R1:0=vaslw(R5:4,#31)	8044df40
S2_asl_r_p	R1:0=asl(R5:4,R6)	c384c680
S2_asl_r_p_acc	R1:0+=asl(R5:4,R6)	cbc4c680
S2_asl_r_p_and	R1:0&=asl(R5:4,R6)	cb44c680
S2_asl_r_p_nac	R1:0-=asl(R5:4,R6)	cb84c680
S2_asl_r_p_or	R1:0|=asl(R5:4,R6)	cb04c680
S2_asl_r_p_xor	R1:0^=asl(R5:4,R6)	cb64c680
S2_asl_r_r	R0=asl(R4,R6)	c644c680
S2_asl_r_r_acc	R0+=asl(R4,R6)	ccc4c680
S2_asl_r_r_and	R0&=asl(R4,R6)	cc44c680
S2_asl_r_r_nac	R0-=asl(R4,R6)	cc84c680
S2_asl_r_r_or	R0|=asl(R4,R6)	cc04c680
S2_asl_r_r_sat	R0=asl(R4,R6):sat	c604c680
S2_asl_r_vh	R1:0=vaslh(R5:4,R6)	c344c680
S2_asl_r_vw	R1:0=vaslw(R5:4,R6)	c304c680
S2_asr_i_p	R1:0=asr(R5:4,#0)	8004c000
S2_asr_i_p	R1:0=asr(R5:4,#1)	8004c100
S2_asr_i_p	R1:0=asr(R5:4,#3)	8004c300
S2_asr_i_p	R1:0=asr(R5:4,#31)	8004df00
S2_asr_i_p	R1:0=asr(R5:4,#63)	8004ff00
S2_asr_i_p_acc	R1:0+=asr(R5:4,#0)	8204c080
S2_asr_i_p_acc	R1:0+=asr(R5:4,#1)	8204c180
S2_asr_i_p_acc	R1:0+=asr(R5:4,#3)	8204c380
S2_asr_i_p_acc	R1:0+=asr(R5:4,#31)	8204df80
S2_asr_i_p_acc	R1:0+=asr(R5:4,#63)	8204ff80
S2_asr_i_p_and	R1:0&=asr(R5:4,#0)	8244c000
S2_asr_i_p_and	R1:0&=asr(R5:4,#1)	8244c100
S2_asr_i_p_and	R1:0&=asr(R5:4,#3)	8244c300
S2_asr_i_p_and	R1:0&=asr(R5:4,#31)	8244df00
S2_asr_i_p_and	R1:0&=asr(R5:4,#63)	8244ff00
S2_asr_i_p_nac	R1:0-=asr(R5:4,#0)	8204c000
S2_asr_i_p_nac	R1:0-=asr(R5:4,#1)	8204c100
S2_asr_i_p_nac	R1:0-=asr(R5:4,#3)	8204c300
S2_asr_i_p_nac	R1:0-=asr(R5:4,#31)	8204df00
S2_asr_i_p_nac	R1:0-=asr(R5:4,#63)	8204ff00
S2_asr_i_p_or	R1:0|=asr(R5:4,#0)	8244c080
S2_asr_i_p_or	R1:0|=asr(R5:4,#1)	8244c180
S2_asr_i_p_or	R1:0|=asr(R5:4,#3)	8244c380
S2_asr_i_p_or	R1:0|=asr(R5:4,#31)	8244df80
S2_asr_i_p_or	R1:0|=asr(R5:4,#63)	8244ff80
S2_asr_i_p_rnd	R1:0=asr(R5:4,#0):rnd	80c4c0e0
S2_asr_i_p_rnd	R1:0=asr(R5:4,#1):rnd	80c4c1e0
S2_asr_i_p_rnd	R1:0=asr(R5:4,#3):rnd	80c4c3e0
S2_asr_i_p_rnd	R1:0=asr(R5:4,#31):rnd	80c4dfe0
S2_asr_i_p_rnd	R1:0=asr(R5:4,#63):rnd	80c4ffe0
S2_asr_i_r	R0=asr(R4,#0)	8c04c000
S2_asr_i_r	R0=asr(R4,#1)	8c04c100
S2_asr_i_r	R0=asr(R4,#15)	8c04cf00
S2_asr_i_r	R0=asr(R4,#3)	8c04c300
S2_asr_i_r	R0=asr(R4,#31)	8c04df00
S2_asr_i_r_acc	R0+=asr(R4,#0)	8e04c080
S2_asr_i_r_acc	R0+=asr(R4,#1)	8e04c180
S2_asr_i_r_acc	R0+=asr(R4,#15)	8e04cf80
S2_asr_i_r_acc	R0+=asr(R4,#3)	8e04c380
S2_asr_i_r_acc	R0+=asr(R4,#31)	8e04df80
S2_asr_i_r_and	R0&=asr(R4,#0)	8e44c000
S2_asr_i_r_and	R0&=asr(R4,#1)	8e44c100
S2_asr_i_r_and	R0&=asr(R4,#15)	8e44cf00
S2_asr_i_r_and	R0&=asr(R4,#3)	8e44c300
S2_asr_i_r_and	R0&=asr(R4,#31)	8e44df00
S2_asr_i_r_nac	R0-=asr(R4,#0)	8e04c000
S2_asr_i_r_nac	R0-=asr(R4,#1)	8e04c100
S2_asr_i_r_nac	R0-=asr(R4,#15)	8e04cf00
S2_asr_i_r_nac	R0-=asr(R4,#3)	8e04c300
S2_asr_i_r_nac	R0-=asr(R4,#31)	8e04df00
S2_asr_i_r_or	R0|=asr(R4,#0)	8e44c080
S2_asr_i_r_or	R0|=asr(R4,#1)	8e44c180
S2_asr_i_r_or	R0|=asr(R4,#15)	8e44cf80
S2_asr_i_r_or	R0|=asr(R4,#3)	8e44c380
S2_asr_i_r_or	R0|=asr(R4,#31)	8e44df80
S2_asr_i_r_rnd	R0=asr(R4,#0):rnd	8c44c000
S2_asr_i_r_rnd	R0=asr(R4,#1):rnd	8c44c100
S2_asr_i_r_rnd	R0=asr(R4,#15):rnd	8c44cf00
S2_asr_i_r_rnd	R0=asr(R4,#3):rnd	8c44c300
S2_asr_i_r_rnd	R0=asr(R4,#31):rnd	8c44df00
S2_asr_i_svw_trun	R0=vasrw(R5:4,#0)	88c4c040
S2_asr_i_svw_trun	R0=vasrw(R5:4,#1)	88c4c140
S2_asr_i_svw_trun	R0=vasrw(R5:4,#15)	88c4cf40
S2_asr_i_svw_trun	R0=vasrw(R5:4,#3)	88c4c340
S2_asr_i_svw_trun	R0=vasrw(R5:4,#31)	88c4df40
S2_asr_i_vh	R1:0=vasrh(R5:4,#0)	8084c000
S2_asr_i_vh	R1:0=vasrh(R5:4,#1)	8084c100
S2_asr_i_vh	R1:0=vasrh(R5:4,#15)	8084cf00
S2_asr_i_vh	R1:0=vasrh(R5:4,#3)	8084c300
S2_asr_i_vh	R1:0=vasrh(R5:4,#7)	8084c700
S2_asr_i_vw	R1:0=vasrw(R5:4,#0)	8044c000
S2_asr_i_vw	R1:0=vasrw(R5:4,#1)	8044c100
S2_asr_i_vw	R1:0=vasrw(R5:4,#15)	8044cf00
S2_asr_i_vw	R1:0=vasrw(R5:4,#3)	8044c300
S2_asr_i_vw	R1:0=vasrw(R5:4,#31)	8044df00
S2_asr_r_p	R1:0=asr(R5:4,R6)	c384c600
S2_asr_r_p_acc	R1:0+=asr(R5:4,R6)	cbc4c600
S2_asr_r_p_and	R1:0&=asr(R5:4,R6)	cb44c600
S2_asr_r_p_nac	R1:0-=asr(R5:4,R6)	cb84c600
S2_asr_r_p_or	R1:0|=asr(R5:4,R6)	cb04c600
S2_asr_r_p_xor	R1:0^=asr(R5:4,R6)	cb64c600
S2_asr_r_r	R0=asr(R4,R6)	c644c600
S2_asr_r_r_acc	R0+=asr(R4,R6)	ccc4c600
S2_asr_r_r_and	R0&=asr(R4,R6)	cc44c600
S2_asr_r_r_nac	R0-=asr(R4,R6)	cc84c600
S2_asr_r_r_or	R0|=asr(R4,R6)	cc04c600
S2_asr_r_r_sat	R0=asr(R4,R6):sat	c604c600
S2_asr_r_svw_trun	R0=vasrw(R5:4,R6)	c504c640
S2_asr_r_vh	R1:0=vasrh(R5:4,R6)	c344c600
S2_asr_r_vw	R1:0=vasrw(R5:4,R6)	c304c600
S2_brev	R0=brev(R4)	8c44c0c0
S2_brevp	R1:0=brev(R5:4)	80c4c0c0
S2_cabacdecbin	R1:0=decbin(R5:4,R7:6)	c1c4c6c0
S2_cl0	R0=cl0(R4)	8c04c0a0
S2_cl0p	R0=cl0(R5:4)	8844c040
S2_cl1	R0=cl1(R4)	8c04c0c0
S2_cl1p	R0=cl1(R5:4)	8844c080
S2_clb	R0=clb(R4)	8c04c080
S2_clbnorm	R0=normamt(R4)	8c04c0e0
S2_clbp	R0=clb(R5:4)	8844c000
S2_clrbit_i	R0=clrbit(R4,#0)	8cc4c020
S2_clrbit_i	R0=clrbit(R4,#1)	8cc4c120
S2_clrbit_i	R0=clrbit(R4,#15)	8cc4cf20
S2_clrbit_i	R0=clrbit(R4,#3)	8cc4c320
S2_clrbit_i	R0=clrbit(R4,#31)	8cc4df20
S2_clrbit_r	R0=clrbit(R4,R6)	c684c640
S2_ct0	R0=ct0(R4)	8c44c080
S2_ct0p	R0=ct0(R5:4)	88e4c040
S2_ct1	R0=ct1(R4)	8c44c0a0
S2_ct1p	R0=ct1(R5:4)	88e4c080
S2_deinterleave	R1:0=deinterleave(R5:4)	80c4c080
S2_extractu	R0=extractu(R4,#0,#0)	8d04c000
S2_extractu	R0=extractu(R4,#1,#1)	8d04c120
S2_extractu	R0=extractu(R4,#15,#15)	8d24cfe0
S2_extractu	R0=extractu(R4,#3,#3)	8d04c360
S2_extractu	R0=extractu(R4,#31,#31)	8d64dfe0
S2_extractu_rp	R0=extractu(R4,R7:6)	c904c600
S2_extractup	R1:0=extractu(R5:4,#0,#0)	8104c000
S2_extractup	R1:0=extractu(R5:4,#1,#1)	8104c120
S2_extractup	R1:0=extractu(R5:4,#3,#3)	8104c360
S2_extractup	R1:0=extractu(R5:4,#31,#31)	8164dfe0
S2_extractup	R1:0=extractu(R5:4,#63,#63)	81e4ffe0
S2_extractup_rp	R1:0=extractu(R5:4,R7:6)	c104c600
S2_insert	R0=insert(R4,#0,#0)	8f04c000
S2_insert	R0=insert(R4,#1,#1)	8f04c120
S2_insert	R0=insert(R4,#15,#15)	8f24cfe0
S2_insert	R0=insert(R4,#3,#3)	8f04c360
S2_insert	R0=insert(R4,#31,#31)	8f64dfe0
S2_insert_rp	R0=insert(R4,R7:6)	c804c600
S2_insertp	R1:0=insert(R5:4,#0,#0)	8304c000
S2_insertp	R1:0=insert(R5:4,#1,#1)	8304c120
S2_insertp	R1:0=insert(R5:4,#3,#3)	8304c360
S2_insertp	R1:0=insert(R5:4,#31,#31)	8364dfe0
S2_insertp	R1:0=insert(R5:4,#63,#63)	83e4ffe0
S2_insertp_rp	R1:0=insert(R5:4,R7:6)	ca04c600
S2_interleave	R1:0=interleave(R5:4)	80c4c0a0
S2_lfsp	R1:0=lfs(R5:4,R7:6)	c184c6c0
S2_lsl_r_p	R1:0=lsl(R5:4,R6)	c384c6c0
S2_lsl_r_p_acc	R1:0+=lsl(R5:4,R6)	cbc4c6c0
S2_lsl_r_p_and	R1:0&=lsl(R5:4,R6)	cb44c6c0
S2_lsl_r_p_nac	R1:0-=lsl(R5:4,R6)	cb84c6c0
S2_lsl_r_p_or	R1:0|=lsl(R5:4,R6)	cb04c6c0
S2_lsl_r_p_xor	R1:0^=lsl(R5:4,R6)	cb64c6c0
S2_lsl_r_r	R0=lsl(R4,R6)	c644c6c0
S2_lsl_r_r_acc	R0+=lsl(R4,R6)	ccc4c6c0
S2_lsl_r_r_and	R0&=lsl(R4,R6)	cc44c6c0
S2_lsl_r_r_nac	R0-=lsl(R4,R6)	cc84c6c0
S2_lsl_r_r_or	R0|=lsl(R4,R6)	cc04c6c0
S2_lsl_r_vh	R1:0=vlslh(R5:4,R6)	c344c6c0
S2_lsl_r_vw	R1:0=vlslw(R5:4,R6)	c304c6c0
S2_lsr_i_p	R1:0=lsr(R5:4,#0)	8004c020
S2_lsr_i_p	R1:0=lsr(R5:4,#1)	8004c120
S2_lsr_i_p	R1:0=lsr(R5:4,#3)	8004c320
S2_lsr_i_p	R1:0=lsr(R5:4,#31)	8004df20
S2_lsr_i_p	R1:0=lsr(R5:4,#63)	8004ff20
S2_lsr_i_p_acc	R1:0+=lsr(R5:4,#0)	8204c0a0
S2_lsr_i_p_acc	R1:0+=lsr(R5:4,#1)	8204c1a0
S2_lsr_i_p_acc	R1:0+=lsr(R5:4,#3)	8204c3a0
S2_lsr_i_p_acc	R1:0+=lsr(R5:4,#31)	8204dfa0
S2_lsr_i_p_acc	R1:0+=lsr(R5:4,#63)	8204ffa0
S2_lsr_i_p_and	R1:0&=lsr(R5:4,#0)	8244c020
S2_lsr_i_p_and	R1:0&=lsr(R5:4,#1)	8244c120
S2_lsr_i_p_and	R1:0&=lsr(R5:4,#3)	8244c320
S2_lsr_i_p_and	R1:0&=lsr(R5:4,#31)	8244df20
S2_lsr_i_p_and	R1:0&=lsr(R5:4,#63)	8244ff20
S2_lsr_i_p_nac	R1:0-=lsr(R5:4,#0)	8204c020
S2_lsr_i_p_nac	R1:0-=lsr(R5:4,#1)	8204c120
S2_lsr_i_p_nac	R1:0-=lsr(R5:4,#3)	8204c320
S2_lsr_i_p_nac	R1:0-=lsr(R5:4,#31)	8204df20
S2_lsr_i_p_nac	R1:0-=lsr(R5:4,#63)	8204ff20
S2_lsr_i_p_or	R1:0|=lsr(R5:4,#0)	8244c0a0
S2_lsr_i_p_or	R1:0|=lsr(R5:4,#1)	8244c1a0
S2_lsr_i_p_or	R1:0|=lsr(R5:4,#3)	8244c3a0
S2_lsr_i_p_or	R1:0|=lsr(R5:4,#31)	8244dfa0
S2_lsr_i_p_or	R1:0|=lsr(R5:4,#63)	8244ffa0
S2_lsr_i_p_xacc	R1:0^=lsr(R5:4,#0)	8284c020
S2_lsr_i_p_xacc	R1:0^=lsr(R5:4,#1)	8284c120
S2_lsr_i_p_xacc	R1:0^=lsr(R5:4,#3)	8284c320
S2_lsr_i_p_xacc	R1:0^=lsr(R5:4,#31)	8284df20
S2_lsr_i_p_xacc	R1:0^=lsr(R5:4,#63)	8284ff20
S2_lsr_i_r	R0=lsr(R4,#0)	8c04c020
S2_lsr_i_r	R0=lsr(R4,#1)	8c04c120
S2_lsr_i_r	R0=lsr(R4,#15)	8c04cf20
S2_lsr_i_r	R0=lsr(R4,#3)	8c04c320
S2_lsr_i_r	R0=lsr(R4,#31)	8c04df20
S2_lsr_i_r_acc	R0+=lsr(R4,#0)	8e04c0a0
S2_lsr_i_r_acc	R0+=lsr(R4,#1)	8e04c1a0
S2_lsr_i_r_acc	R0+=lsr(R4,#15)	8e04cfa0
S2_lsr_i_r_acc	R0+=lsr(R4,#3)	8e04c3a0
S2_lsr_i_r_acc	R0+=lsr(R4,#31)	8e04dfa0
S2_lsr_i_r_and	R0&=lsr(R4,#0)	8e44c020
S2_lsr_i_r_and	R0&=lsr(R4,#1)	8e44c120
S2_lsr_i_r_and	R0&=lsr(R4,#15)	8e44cf20
S2_lsr_i_r_and	R0&=lsr(R4,#3)	8e44c320
S2_lsr_i_r_and	R0&=lsr(R4,#31)	8e44df20
S2_lsr_i_r_nac	R0-=lsr(R4,#0)	8e04c020
S2_lsr_i_r_nac	R0-=lsr(R4,#1)	8e04c120
S2_lsr_i_r_nac	R0-=lsr(R4,#15)	8e04cf20
S2_lsr_i_r_nac	R0-=lsr(R4,#3)	8e04c320
S2_lsr_i_r_nac	R0-=lsr(R4,#31)	8e04df20
S2_lsr_i_r_or	R0|=lsr(R4,#0)	8e44c0a0
S2_lsr_i_r_or	R0|=lsr(R4,#1)	8e44c1a0
S2_lsr_i_r_or	R0|=lsr(R4,#15)	8e44cfa0
S2_lsr_i_r_or	R0|=lsr(R4,#3)	8e44c3a0
S2_lsr_i_r_or	R0|=lsr(R4,#31)	8e44dfa0
S2_lsr_i_r_xacc	R0^=lsr(R4,#0)	8e84c020
S2_lsr_i_r_xacc	R0^=lsr(R4,#1)	8e84c120
S2_lsr_i_r_xacc	R0^=lsr(R4,#15)	8e84cf20
S2_lsr_i_r_xacc	R0^=lsr(R4,#3)	8e84c320
S2_lsr_i_r_xacc	R0^=lsr(R4,#31)	8e84df20
S2_lsr_i_vh	R1:0=vlsrh(R5:4,#0)	8084c020
S2_lsr_i_vh	R1:0=vlsrh(R5:4,#1)	8084c120
S2_lsr_i_vh	R1:0=vlsrh(R5:4,#15)	8084cf20
S2_lsr_i_vh	R1:0=vlsrh(R5:4,#3)	8084c320
S2_lsr_i_vh	R1:0=vlsrh(R5:4,#7)	8084c720
S2_lsr_i_vw	R1:0=vlsrw(R5:4,#0)	8044c020
S2_lsr_i_vw	R1:0=vlsrw(R5:4,#1)	8044c120
S2_lsr_i_vw	R1:0=vlsrw(R5:4,#15)	8044cf20
S2_lsr_i_vw	R1:0=vlsrw(R5:4,#3)	8044c320
S2_lsr_i_vw	R1:0=vlsrw(R5:4,#31)	8044df20
S2_lsr_r_p	R1:0=lsr(R5:4,R6)	c384c640
S2_lsr_r_p_acc	R1:0+=lsr(R5:4,R6)	cbc4c640
S2_lsr_r_p_and	R1:0&=lsr(R5:4,R6)	cb44c640
S2_lsr_r_p_nac	R1:0-=lsr(R5:4,R6)	cb84c640
S2_lsr_r_p_or	R1:0|=lsr(R5:4,R6)	cb04c640
S2_lsr_r_p_xor	R1:0^=lsr(R5:4,R6)	cb64c640
S2_lsr_r_r	R0=lsr(R4,R6)	c644c640
S2_lsr_r_r_acc	R0+=lsr(R4,R6)	ccc4c640
S2_lsr_r_r_and	R0&=lsr(R4,R6)	cc44c640
S2_lsr_r_r_nac	R0-=lsr(R4,R6)	cc84c640
S2_lsr_r_r_or	R0|=lsr(R4,R6)	cc04c640
S2_lsr_r_vh	R1:0=vlsrh(R5:4,R6)	c344c640
S2_lsr_r_vw	R1:0=vlsrw(R5:4,R6)	c304c640
S2_mask	R0=mask(#0,#0)	8d00e000
S2_mask	R0=mask(#1,#1)	8d00e120
S2_mask	R0=mask(#15,#15)	8d20efe0
S2_mask	R0=mask(#3,#3)	8d00e360
S2_mask	R0=mask(#31,#31)	8d60ffe0
S2_packhl	R1:0=packhl(R4,R6)	f584c600
S2_parityp	R0=parity(R5:4,R7:6)	d004c600
S2_setbit_i	R0=setbit(R4,#0)	8cc4c000
S2_setbit_i	R0=setbit(R4,#1)	8cc4c100
S2_setbit_i	R0=setbit(R4,#15)	8cc4cf00
S2_setbit_i	R0=setbit(R4,#3)	8cc4c300
S2_setbit_i	R0=setbit(R4,#31)	8cc4df00
S2_setbit_r	R0=setbit(R4,R6)	c684c600
S2_shuffeb	R1:0=shuffeb(R5:4,R7:6)	c104c640
S2_shuffeh	R1:0=shuffeh(R5:4,R7:6)	c104c6c0
S2_shuffob	R1:0=shuffob(R7:6,R5:4)	c104c680
S2_shuffoh	R1:0=shuffoh(R7:6,R5:4)	c184c600
S2_svsathb	R0=vsathb(R4)	8c84c000
S2_svsathub	R0=vsathub(R4)	8c84c040
S2_tableidxb	R0=tableidxb(R4,#0,#0):raw	8704c000
S2_tableidxb	R0=tableidxb(R4,#1,#-32):raw	8704e020
S2_tableidxb	R0=tableidxb(R4,#15,#31):raw	8724dfe0
S2_tableidxb	R0=tableidxb(R4,#3,#-3):raw	8704fd60
S2_tableidxb	R0=tableidxb(R4,#7,#15):raw	8704cfe0
S2_tableidxd	R0=tableidxd(R4,#0,#0):raw	87c4c000
S2_tableidxd	R0=tableidxd(R4,#1,#-32):raw	87c4e020
S2_tableidxd	R0=tableidxd(R4,#15,#31):raw	87e4dfe0
S2_tableidxd	R0=tableidxd(R4,#3,#-3):raw	87c4fd60
S2_tableidxd	R0=tableidxd(R4,#7,#15):raw	87c4cfe0
S2_tableidxh	R0=tableidxh(R4,#0,#0):raw	8744c000
S2_tableidxh	R0=tableidxh(R4,#1,#-32):raw	8744e020
S2_tableidxh	R0=tableidxh(R4,#15,#31):raw	8764dfe0
S2_tableidxh	R0=tableidxh(R4,#3,#-3):raw	8744fd60
S2_tableidxh	R0=tableidxh(R4,#7,#15):raw	8744cfe0
S2_tableidxw	R0=tableidxw(R4,#0,#0):raw	8784c000
S2_tableidxw	R0=tableidxw(R4,#1,#-32):raw	8784e020
S2_tableidxw	R0=tableidxw(R4,#15,#31):raw	87a4dfe0
S2_tableidxw	R0=tableidxw(R4,#3,#-3):raw	8784fd60
S2_tableidxw	R0=tableidxw(R4,#7,#15):raw	8784cfe0
S2_togglebit_i	R0=togglebit(R4,#0)	8cc4c040
S2_togglebit_i	R0=togglebit(R4,#1)	8cc4c140
S2_togglebit_i	R0=togglebit(R4,#15)	8cc4cf40
S2_togglebit_i	R0=togglebit(R4,#3)	8cc4c340
S2_togglebit_i	R0=togglebit(R4,#31)	8cc4df40
S2_togglebit_r	R0=togglebit(R4,R6)	c684c680
S2_tstbit_i	P0=tstbit(R4,#0)	8504c000
S2_tstbit_i	P0=tstbit(R4,#1)	8504c100
S2_tstbit_i	P0=tstbit(R4,#15)	8504cf00
S2_tstbit_i	P0=tstbit(R4,#3)	8504c300
S2_tstbit_i	P0=tstbit(R4,#31)	8504df00
S2_tstbit_r	P0=tstbit(R4,R6)	c704c600
S2_valignib	R1:0=valignb(R7:6,R5:4,#0)	c004c600
S2_valignib	R1:0=valignb(R7:6,R5:4,#1)	c004c620
S2_valignib	R1:0=valignb(R7:6,R5:4,#3)	c004c660
S2_valignib	R1:0=valignb(R7:6,R5:4,#7)	c004c6e0
S2_valignrb	R1:0=valignb(R7:6,R5:4,P3)	c204c660
S2_vcnegh	R1:0=vcnegh(R5:4,R6)	c3c4c640
S2_vcrotate	R1:0=vcrotate(R5:4,R6)	c3c4c600
S2_vrcnegh	R1:0+=vrcnegh(R5:4,R6)	cb24e6e0
S2_vrndpackwh	R0=vrndwh(R5:4)	8884c080
S2_vrndpackwhs	R0=vrndwh(R5:4):sat	8884c0c0
S2_vsathb	R0=vsathb(R5:4)	8804c0c0
S2_vsathb_nopack	R1:0=vsathb(R5:4)	8004c0e0
S2_vsathub	R0=vsathub(R5:4)	8804c000
S2_vsathub_nopack	R1:0=vsathub(R5:4)	8004c080
S2_vsatwh	R0=vsatwh(R5:4)	8804c040
S2_vsatwh_nopack	R1:0=vsatwh(R5:4)	8004c0c0
S2_vsatwuh	R0=vsatwuh(R5:4)	8804c080
S2_vsatwuh_nopack	R1:0=vsatwuh(R5:4)	8004c0a0
S2_vsxtbh	R1:0=vsxtbh(R4)	8404c000
S2_vsxthw	R1:0=vsxthw(R4)	8404c080
S2_vtrunehb	R0=vtrunehb(R5:4)	8884c040
S2_vtrunewh	R1:0=vtrunewh(R5:4,R7:6)	c184c640
S2_vtrunohb	R0=vtrunohb(R5:4)	8884c000
S2_vtrunowh	R1:0=vtrunowh(R5:4,R7:6)	c184c680
S2_vzxtbh	R1:0=vzxtbh(R4)	8404c040
S2_vzxthw	R1:0=vzxthw(R4)	8404c0c0
S4_addaddi	R0=add(R4,add(R8,#-3))	db64e0a8
S4_addaddi	R0=add(R4,add(R8,#-32))	db44c008
S4_addaddi	R0=add(R4,add(R8,#0))	db04c008
S4_addaddi	R0=add(R4,add(R8,#15))	db04e0e8
S4_addaddi	R0=add(R4,add(R8,#31))	db24e0e8
S4_addi_asl_ri	R0=add(#0,asl(R0,#0))	de00c004
S4_addi_asl_ri	R0=add(#1,asl(R0,#1))	de00c10c
S4_addi_asl_ri	R0=add(#127,asl(R0,#15))	de60efec
S4_addi_asl_ri	R0=add(#255,asl(R0,#31))	dee0ffec
S4_addi_asl_ri	R0=add(#3,asl(R0,#3))	de00c32c
S4_addi_lsr_ri	R0=add(#0,lsr(R0,#0))	de00c014
S4_addi_lsr_ri	R0=add(#1,lsr(R0,#1))	de00c11c
S4_addi_lsr_ri	R0=add(#127,lsr(R0,#15))	de60effc
S4_addi_lsr_ri	R0=add(#255,lsr(R0,#31))	dee0fffc
S4_addi_lsr_ri	R0=add(#3,lsr(R0,#3))	de00c33c
S4_andi_asl_ri	R0=and(#0,asl(R0,#0))	de00c000
S4_andi_asl_ri	R0=and(#1,asl(R0,#1))	de00c108
S4_andi_asl_ri	R0=and(#127,asl(R0,#15))	de60efe8
S4_andi_asl_ri	R0=and(#255,asl(R0,#31))	dee0ffe8
S4_andi_asl_ri	R0=and(#3,asl(R0,#3))	de00c328
S4_andi_lsr_ri	R0=and(#0,lsr(R0,#0))	de00c010
S4_andi_lsr_ri	R0=and(#1,lsr(R0,#1))	de00c118
S4_andi_lsr_ri	R0=and(#127,lsr(R0,#15))	de60eff8
S4_andi_lsr_ri	R0=and(#255,lsr(R0,#31))	dee0fff8
S4_andi_lsr_ri	R0=and(#3,lsr(R0,#3))	de00c338
S4_clbaddi	R0=add(clb(R4),#-3)	8c24fd00
S4_clbaddi	R0=add(clb(R4),#-32)	8c24e000
S4_clbaddi	R0=add(clb(R4),#0)	8c24c000
S4_clbaddi	R0=add(clb(R4),#15)	8c24cf00
S4_clbaddi	R0=add(clb(R4),#31)	8c24df00
S4_clbpaddi	R0=add(clb(R5:4),#-3)	8864fd40
S4_clbpaddi	R0=add(clb(R5:4),#-32)	8864e040
S4_clbpaddi	R0=add(clb(R5:4),#0)	8864c040
S4_clbpaddi	R0=add(clb(R5:4),#15)	8864cf40
S4_clbpaddi	R0=add(clb(R5:4),#31)	8864df40
S4_clbpnorm	R0=normamt(R5:4)	8864c000
S4_extract	R0=extract(R4,#0,#0)	8d84c000
S4_extract	R0=extract(R4,#1,#1)	8d84c120
S4_extract	R0=extract(R4,#15,#15)	8da4cfe0
S4_extract	R0=extract(R4,#3,#3)	8d84c360
S4_extract	R0=extract(R4,#31,#31)	8de4dfe0
S4_extract_rp	R0=extract(R4,R7:6)	c904c640
S4_extractp	R1:0=extract(R5:4,#0,#0)	8a04c000
S4_extractp	R1:0=extract(R5:4,#1,#1)	8a04c120
S4_extractp	R1:0=extract(R5:4,#3,#3)	8a04c360
S4_extractp	R1:0=extract(R5:4,#31,#31)	8a64dfe0
S4_extractp	R1:0=extract(R5:4,#63,#63)	8ae4ffe0
S4_extractp_rp	R1:0=extract(R5:4,R7:6)	c1c4c680
S4_lsli	R0=lsl(#-3,R6)	c69ec6e0
S4_lsli	R0=lsl(#-32,R6)	c690c6c0
S4_lsli	R0=lsl(#0,R6)	c680c6c0
S4_lsli	R0=lsl(#15,R6)	c687c6e0
S4_lsli	R0=lsl(#31,R6)	c68fc6e0
S4_ntstbit_i	P0=!tstbit(R4,#0)	8524c000
S4_ntstbit_i	P0=!tstbit(R4,#1)	8524c100
S4_ntstbit_i	P0=!tstbit(R4,#15)	8524cf00
S4_ntstbit_i	P0=!tstbit(R4,#3)	8524c300
S4_ntstbit_i	P0=!tstbit(R4,#31)	8524df00
S4_ntstbit_r	P0=!tstbit(R4,R6)	c724c600
S4_or_andi	R0|=and(R4,#-3)	da24ffa0
S4_or_andi	R0|=and(R4,#-512)	da24c000
S4_or_andi	R0|=and(R4,#0)	da04c000
S4_or_andi	R0|=and(R4,#255)	da04dfe0
S4_or_andi	R0|=and(R4,#511)	da04ffe0
S4_or_andix	R0=or(R8,and(R0,#-3))	da60ffa8
S4_or_andix	R0=or(R8,and(R0,#-512))	da60c008
S4_or_andix	R0=or(R8,and(R0,#0))	da40c008
S4_or_andix	R0=or(R8,and(R0,#255))	da40dfe8
S4_or_andix	R0=or(R8,and(R0,#511))	da40ffe8
